area;UNIDADE;SOLO_EMBRA;MAT_ORIGEM;LEGENDA;Declividade (calculada em aula)
1004,730235;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
648,9410733;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
252,903427;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
252,903427;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
3782,180857;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
3782,180857;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
4397,760294;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
51159,73291;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
14517,39165;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;4
14517,39165;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;4
344,562944;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;4
344,562944;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;4
6011,638452;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
780,4339843;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;4
1928,073304;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
2604,471909;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
974,2010302;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
11039,86858;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;4
21970,46787;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;4
51979,52108;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
2461,836211;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
57371,23633;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;4
19952,2194;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
125711,4419;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;4
2047,715564;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
203,6540535;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
4738,318545;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
1405,175352;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
5850,152911;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
48692,73441;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
621,3167225;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1283,188222;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Agua;3
460,0182358;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
5050,557328;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1545,879346;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;4
671,3335688;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
2110,084106;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1931,262212;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1809,476402;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
58539,48145;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;4
21870,95404;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1553,558053;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
409,161306;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
13435,81774;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
2527,765286;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
